id,name,page,image,card_crop,header_bbox_pt
P0056,جعبه بکس 2 / 1 درایو 24 عددی ( بدون هندلی ),9,products/P0056.jpg,cards/P0056.jpg,"[407.67, 339.41, 181.05, 20.39]"
P0057,جعبه بکس 2 / 1 درایو 41 پارچه ( 6 پر و 12 پر ),9,products/P0057.jpg,cards/P0057.jpg,"[28.78, 490.52, 195.44, 20.99]"
P0058,جعبه بکس 2 / 1 درایو 41 پارچه ( اینچ و میلیمتر ),9,products/P0058.jpg,cards/P0058.jpg,"[224.82, 490.52, 182.25, 20.99]"
P0059,جعبه بکس 2 / 1 درایو 36 عددی,9,products/P0059.jpg,cards/P0059.jpg,"[407.67, 490.52, 181.05, 20.99]"
P0060,جعبه بکس 4 / 3 درایو مشکی ( 20 عددی ),9,products/P0060.jpg,cards/P0060.jpg,"[28.78, 641.63, 195.44, 20.99]"
P0061,جعبه بکس 4 / 3 درایو ( 20 عددی ),9,products/P0061.jpg,cards/P0061.jpg,"[224.82, 641.63, 182.25, 20.99]"
P0062,جعبه بکس 4 / 3 درایو ( 14 عددی ),9,products/P0062.jpg,cards/P0062.jpg,"[407.67, 641.63, 181.05, 20.99]"
P0063,جعبه بکس ( 4 / 1 – 8 / 3 ) درایو ( 69 عددی ),10,products/P0063.jpg,cards/P0063.jpg,"[28.78, 36.58, 190.65, 20.99]"
P0064,جعبه بکس 1 درایو سفید 6 پر ( 21 عددی ),10,products/P0064.jpg,cards/P0064.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0065,جعبه بکس 1 درایو سفید 12 پر ( 14 عددی ),10,products/P0065.jpg,cards/P0065.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0066,جعبه ابزار 2 / 1 و 4 / 1 درایو ( 94 عددی ),10,products/P0066.jpg,cards/P0066.jpg,"[28.78, 187.69, 190.65, 20.99]"
P0067,جعبه ابزار کامل ( 82 عددی ),10,products/P0067.jpg,cards/P0067.jpg,"[220.02, 187.69, 184.05, 20.99]"
P0068,جعبه ابزار ( 2 / 1 – 4 / 1 () 69 عددی ),10,products/P0068.jpg,cards/P0068.jpg,"[405.27, 187.69, 183.45, 20.99]"
P0069,جعبه ابزار کامل ( 72 عددی ),10,products/P0069.jpg,cards/P0069.jpg,"[28.78, 339.41, 190.65, 20.39]"
P0070,جعبه ابزار کامل ( 88 عددی ),10,products/P0070.jpg,cards/P0070.jpg,"[220.02, 339.41, 184.05, 20.39]"
P0071,جعبه ابزار کامل ( 108 عددی ),10,products/P0071.jpg,cards/P0071.jpg,"[405.27, 339.41, 183.45, 20.39]"
P0072,جعبه ابزار کامل ( 222 عددی ),10,products/P0072.jpg,cards/P0072.jpg,"[28.78, 490.52, 190.65, 20.99]"
P0073,جعبه ابزار کامل ( 178 عددی ),10,products/P0073.jpg,cards/P0073.jpg,"[220.02, 490.52, 184.05, 20.99]"
P0074,جعبه ابزار کامل ( 150 عددی ),10,products/P0074.jpg,cards/P0074.jpg,"[405.27, 490.52, 183.45, 20.99]"
P0075,جعبه ابزار کامل ( 202 عددی ),10,products/P0075.jpg,cards/P0075.jpg,"[28.78, 641.63, 190.65, 20.99]"
P0076,جعبه ابزار کامل ( 180 عددی ),10,products/P0076.jpg,cards/P0076.jpg,"[220.02, 641.63, 184.05, 20.99]"
P0077,جعبه ابزار کامل ( 142 عددی ),10,products/P0077.jpg,cards/P0077.jpg,"[405.27, 641.63, 183.45, 20.99]"
P0078,جعبه بکس مشکی تکی بلند ( 24 – 10 ),11,products/P0078.jpg,cards/P0078.jpg,"[28.78, 36.58, 190.65, 20.99]"
P0079,جعبه بکس مشکی تکی کوتاه ( 32 – 10 ),11,products/P0079.jpg,cards/P0079.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0080,جعبه بکس مشکی تکی کوتاه ( 24 – 10 ),11,products/P0080.jpg,cards/P0080.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0081,جعبه بکس سفید تکی بلند ( 32 – 10 ),11,products/P0081.jpg,cards/P0081.jpg,"[28.78, 187.69, 190.65, 20.99]"
P0082,جعبه بکس 4 / 3 مشکی تکی بلند ( 50 – 17 ),11,products/P0082.jpg,cards/P0082.jpg,"[220.02, 187.69, 184.05, 20.99]"
P0083,جعبه بکس مشکی تکی بلند ( 32 – 10 ),11,products/P0083.jpg,cards/P0083.jpg,"[405.27, 187.69, 183.45, 20.99]"
P0084,جعبه آلن بکسی بلند 8 عددی ( 17 – 5 ),11,products/P0084.jpg,cards/P0084.jpg,"[28.78, 339.41, 190.65, 20.39]"
P0085,جعبه آلن بکسی ستاره 9 عددی ( T60 – T20 ),11,products/P0085.jpg,cards/P0085.jpg,"[220.02, 339.41, 184.05, 20.39]"
P0086,جعبه آلن بکسی 11 عددی ( 19 – 5 ),11,products/P0086.jpg,cards/P0086.jpg,"[405.27, 339.41, 183.45, 20.39]"
P0087,جعبه آلن بکسی 4 / 3 درایو ( 24-14 ),11,products/P0087.jpg,cards/P0087.jpg,"[28.78, 491.72, 190.65, 18.59]"
P0088,جعبه آلن بکس هزارخار بلند 7 عددی M16 – M5,11,products/P0088.jpg,cards/P0088.jpg,"[220.02, 491.72, 184.05, 18.59]"
P0089,جعبه آلن بکس ستاره بلند 9 عددی T60 – T20,11,products/P0089.jpg,cards/P0089.jpg,"[405.27, 491.72, 183.45, 18.59]"
P0090,جعبه ستاره ایی ( 40 پارچه ) فلزی,11,products/P0090.jpg,cards/P0090.jpg,"[28.78, 641.03, 190.65, 20.99]"
P0091,جعبه ستاره ایی ( 40 پارچه ) پالستیکی,11,products/P0091.jpg,cards/P0091.jpg,"[220.02, 641.03, 184.05, 20.99]"
P0092,"جعبه آلن بکسی ستاره ایی 16 عددی ( E , T )",11,products/P0092.jpg,cards/P0092.jpg,"[405.27, 641.03, 183.45, 20.99]"
P0093,جعبه بکس 27 عددی عایق 1000 ولت,12,products/P0093.jpg,cards/P0093.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0094,جعبه بکس 2 / 1 درایو مشکی کوتاه و بلند 40 عددی,12,products/P0094.jpg,cards/P0094.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0095,پیستوله گازوئیل پاش پالستیکی,12,products/P0095.jpg,cards/P0095.jpg,"[220.02, 187.69, 184.05, 20.99]"
P0096,پیستوله گازوئیل پاش فلزی قرمز,12,products/P0096.jpg,cards/P0096.jpg,"[405.27, 187.69, 183.45, 20.99]"
P0097,گیریس پمپ بادی 40 کیلویی,12,products/P0097.jpg,cards/P0097.jpg,"[28.78, 339.41, 190.65, 20.39]"
P0098,گیریس پمپ بادی 20 کیلویی,12,products/P0098.jpg,cards/P0098.jpg,"[220.02, 339.41, 184.05, 20.39]"
P0099,گیریس پمپ بادی 12 کیلویی,12,products/P0099.jpg,cards/P0099.jpg,"[405.27, 339.41, 183.45, 20.39]"
P0100,آچار آلن کارتی بلند 10 عددی ( 10 – 27 / 1 ),13,products/P0100.jpg,cards/P0100.jpg,"[28.78, 36.58, 190.65, 20.99]"
P0101,آچار آلن کارتی نیمه بلند 10 عددی ( 10 – 27 / 1 ),13,products/P0101.jpg,cards/P0101.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0102,آچار آلن کارتی کوتاه 10 عددی ( 10 – 27 / 1 ),13,products/P0102.jpg,cards/P0102.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0103,آچار آلن کارتی بلند سرگرد 10 عددی,13,products/P0103.jpg,cards/P0103.jpg,"[28.78, 187.69, 190.65, 20.99]"
P0104,آچار آلن کارتی نیمه بلند سرگرد 10 عددی,13,products/P0104.jpg,cards/P0104.jpg,"[220.02, 187.69, 184.05, 20.99]"
P0105,آچار آلن کارتی کوتاه سرگرد 10 عددی,13,products/P0105.jpg,cards/P0105.jpg,"[405.27, 187.69, 183.45, 20.99]"
P0106,آچار آلن ستاره ایی بلند 10 عددی ( –T50 T10 ),13,products/P0106.jpg,cards/P0106.jpg,"[28.78, 339.41, 190.65, 15.59]"
P0107,آچار آلن ستاره ایی نیمه بلند 10 عددی ( –T50 T10 ),13,products/P0107.jpg,cards/P0107.jpg,"[220.02, 339.41, 184.05, 15.59]"
P0108,آچار آلن کارتی ستاره ایی کوتاه 10 عددی ( –T50 T10 ),13,products/P0108.jpg,cards/P0108.jpg,"[405.27, 339.41, 183.45, 15.59]"
P0109,آچار آلن کارتی ستاره ایی بلند سوراخ دار ( –T50 T10 ),13,products/P0109.jpg,cards/P0109.jpg,"[28.78, 485.12, 190.65, 20.99]"
P0110,آچار آلن ستاره ایی نیمه بلند سوراخ دار ( –T50 T10 ),13,products/P0110.jpg,cards/P0110.jpg,"[220.02, 485.12, 184.05, 20.99]"
P0111,آچار آلن کارتی بلند 10 عددی ( اینچی ),13,products/P0111.jpg,cards/P0111.jpg,"[405.27, 485.12, 183.45, 20.99]"
P0112,ریل بکس 2 / 1 درایو مشکی ( 24 – 10 ),13,products/P0112.jpg,cards/P0112.jpg,"[28.78, 636.24, 190.65, 20.99]"
P0113,آچار آلن چاقویی ستاره ایی T40 – T10,13,products/P0113.jpg,cards/P0113.jpg,"[220.02, 636.24, 184.05, 20.99]"
P0114,آچار آلن چاقویی 10 – 5 / 2,13,products/P0114.jpg,cards/P0114.jpg,"[405.27, 636.24, 183.45, 20.99]"
P0115,ریل بکس ستاره ایی 5 پخ,14,products/P0115.jpg,cards/P0115.jpg,"[28.78, 36.58, 190.65, 20.99]"
P0116,ریل بکس ستاره 4 / 1 درایو 9 عددی,14,products/P0116.jpg,cards/P0116.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0117,ریل آلن بکسی 8 / 3 درایو 8 عددی ( 10 – 3 ),14,products/P0117.jpg,cards/P0117.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0118,ریل آلن بکسی 2 / 1 درایو 9 عددی ( 14 – 4 ),14,products/P0118.jpg,cards/P0118.jpg,"[28.78, 187.69, 190.65, 17.39]"
P0119,ریل بکس ستاره 9 عددی سوراخدار ( T60 – T20 ),14,products/P0119.jpg,cards/P0119.jpg,"[220.02, 187.69, 184.05, 17.39]"
P0120,ریل بکس ستاره 2 / 1 درایو 9 عددی ( T60 – T20 ),14,products/P0120.jpg,cards/P0120.jpg,"[405.27, 187.69, 183.45, 17.39]"
P0121,ریل بکسی ستاره ایی 8 عددی,14,products/P0121.jpg,cards/P0121.jpg,"[28.78, 335.81, 190.65, 20.39]"
P0122,ریل بکسی آلن فشارقوی 8 عددی,14,products/P0122.jpg,cards/P0122.jpg,"[220.02, 335.81, 184.05, 20.39]"
P0123,ریل آلن بکس هزار خاری 7 عددی ( M16 – M6 ),14,products/P0123.jpg,cards/P0123.jpg,"[405.27, 335.81, 183.45, 20.39]"
P0124,ریل بکس 4 / 1 درایو بلند ( 11 عددی ) ( 14 – 4 ),14,products/P0124.jpg,cards/P0124.jpg,"[28.78, 486.92, 190.65, 20.99]"
P0125,ریل بکس 4 / 1 درایو کوتاه اینچی 13 عددی,14,products/P0125.jpg,cards/P0125.jpg,"[220.02, 486.92, 184.05, 20.99]"
P0126,ریل بکس 4 / 1 درایو کوتاه ( 13 عددی ) ( 13 – 4 ),14,products/P0126.jpg,cards/P0126.jpg,"[405.27, 486.92, 183.45, 20.99]"
P0127,ریل بکس 8 / 3 درایو کوتاه ( 11 عددی ) ( 19 – 8 ),14,products/P0127.jpg,cards/P0127.jpg,"[28.78, 638.04, 190.65, 20.99]"
P0128,ریل بکس 4 / 1 درایو بلند اینچی 13 عددی ( 16 / 9 – 32 / 5 ),14,products/P0128.jpg,cards/P0128.jpg,"[220.02, 638.04, 184.05, 20.99]"
P0129,ریل بکس 4 / 1 درایو بلند ( 13 عددی ) ( 14 – 4 ),14,products/P0129.jpg,cards/P0129.jpg,"[405.27, 638.04, 183.45, 20.99]"
P0130,"ریل بکس 2 / 1 درایو کوتاه اینچی ( "" 1 – 16 / 5 )",15,products/P0130.jpg,cards/P0130.jpg,"[28.78, 36.58, 190.65, 20.99]"
P0131,ریل بکس 2 / 1 درایو سفید کوتاه ( 24 – 10 ),15,products/P0131.jpg,cards/P0131.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0132,ریل بکس 8 / 3 درایو بلند ( 10 عددی ) ( 19 – 8 ),15,products/P0132.jpg,cards/P0132.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0133,ریل بکس ستاره ایی 4 عددی ( E12 – E6 ),15,products/P0133.jpg,cards/P0133.jpg,"[28.78, 187.69, 190.65, 20.99]"
P0134,ریل بکس 2 / 1 درایو 16 عددی تکی ( 32 – 10 ),15,products/P0134.jpg,cards/P0134.jpg,"[220.02, 187.69, 184.05, 20.99]"
P0135,ریل بکس 2 / 1 درایو سفید بلند ( 24 – 10 ),15,products/P0135.jpg,cards/P0135.jpg,"[405.27, 187.69, 183.45, 20.99]"
P0136,ریل بکس ستاره ایی 9 عددی ( E24 – E10 ),15,products/P0136.jpg,cards/P0136.jpg,"[28.78, 339.41, 190.65, 16.79]"
P0137,ریل بکس 2 / 1 ستاره ایی 7 عددی ( E22 – E10 ),15,products/P0137.jpg,cards/P0137.jpg,"[220.02, 339.41, 184.05, 16.79]"
P0138,ریل بکس 4 / 1 ستاره ایی 7 عددی ( E12 – E4 ),15,products/P0138.jpg,cards/P0138.jpg,"[405.27, 339.41, 183.45, 16.79]"
P0139,ریل بکس ستاره ایی بلند 8 عددی ( E24 – E10 ),15,products/P0139.jpg,cards/P0139.jpg,"[28.78, 486.92, 190.65, 19.19]"
P0140,ریل بکس ستاره ایی 14 عددی ( E20 – E4 ),15,products/P0140.jpg,cards/P0140.jpg,"[220.02, 486.92, 184.05, 19.19]"
P0141,ریل بکس ستاره ایی 10 عددی ( E18 – E4 ),15,products/P0141.jpg,cards/P0141.jpg,"[405.27, 486.92, 183.45, 19.19]"
P0142,پیچ گوشتی تقه ایی 12 عددی,15,products/P0142.jpg,cards/P0142.jpg,"[28.78, 636.24, 190.65, 20.99]"
P0143,پیچ گوشتی تقه ایی 8 عددی,15,products/P0143.jpg,cards/P0143.jpg,"[220.02, 636.24, 184.05, 20.99]"
P0144,پیچ گوشتی تقه ایی 6 عددی,15,products/P0144.jpg,cards/P0144.jpg,"[405.27, 636.24, 183.45, 20.99]"
P0145,بکس ستاره ایی تکی دینام,16,products/P0145.jpg,cards/P0145.jpg,"[28.78, 36.58, 190.65, 20.99]"
P0146,بکس ستاره ایی T50 مخصوص دینام,16,products/P0146.jpg,cards/P0146.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0147,بکس هزارخاری M10 مخصوص دینام,16,products/P0147.jpg,cards/P0147.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0148,"انبر وایر شو "" 10",16,products/P0148.jpg,cards/P0148.jpg,"[28.78, 187.69, 190.65, 20.99]"
P0149,"انبر وایر شو "" 9",16,products/P0149.jpg,cards/P0149.jpg,"[220.02, 187.69, 184.05, 20.99]"
P0150,"انبر وایر شو "" 8",16,products/P0150.jpg,cards/P0150.jpg,"[405.27, 187.69, 183.45, 20.99]"
P0151,انبرپرچ مدل ژاپنی,16,products/P0151.jpg,cards/P0151.jpg,"[28.78, 339.41, 190.65, 20.39]"
P0152,انبرمهره پرچ کن 10 – 5,16,products/P0152.jpg,cards/P0152.jpg,"[220.02, 339.41, 184.05, 20.39]"
P0153,انبرپرچ آکاردئونی,16,products/P0153.jpg,cards/P0153.jpg,"[28.78, 490.52, 190.65, 20.99]"
P0154,انبرپرچ دو دسته حرفه ایی ( 6 – 3 ),16,products/P0154.jpg,cards/P0154.jpg,"[220.02, 490.52, 184.05, 20.99]"
P0155,انبرپرچ کله گردان ( 360 درجه ),16,products/P0155.jpg,cards/P0155.jpg,"[405.27, 490.52, 183.45, 20.99]"
P0156,بادپاش فلزی ( تنظیم شو ),16,products/P0156.jpg,cards/P0156.jpg,"[28.78, 641.63, 190.65, 20.99]"
P0157,بادپاش پالستیکی میله بلند,16,products/P0157.jpg,cards/P0157.jpg,"[220.02, 641.63, 184.05, 20.99]"
P0158,بادپاش پالستیکی میله کوتاه,16,products/P0158.jpg,cards/P0158.jpg,"[405.27, 641.63, 183.45, 20.99]"
P0159,"انبرقفلی "" 10",17,products/P0159.jpg,cards/P0159.jpg,"[28.78, 36.58, 190.65, 20.99]"
P0160,"انبرقفلی "" 7",17,products/P0160.jpg,cards/P0160.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0161,"انبرقفلی "" 5",17,products/P0161.jpg,cards/P0161.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0162,انبرقفلی زنجیری,17,products/P0162.jpg,cards/P0162.jpg,"[28.78, 187.69, 190.65, 20.99]"
P0163,انبرقفلی دمباریکی 9,17,products/P0163.jpg,cards/P0163.jpg,"[220.02, 187.69, 184.05, 20.99]"
P0164,"انبرقفلی "" 10 فک تخت",17,products/P0164.jpg,cards/P0164.jpg,"[405.27, 187.69, 183.45, 20.99]"
P0165,قلم و سنبه پین دربیار 5 عددی,17,products/P0165.jpg,cards/P0165.jpg,"[28.78, 339.41, 190.65, 20.39]"
P0166,"انبرقفلی فیلتربازکن "" 11",17,products/P0166.jpg,cards/P0166.jpg,"[220.02, 339.41, 184.05, 20.39]"
P0167,"انبرقفلی فیلتربازکن "" 10",17,products/P0167.jpg,cards/P0167.jpg,"[405.27, 339.41, 183.45, 20.39]"
P0168,قالویز چپ گرد 5 عددی,17,products/P0168.jpg,cards/P0168.jpg,"[28.78, 490.52, 190.65, 20.99]"
P0169,قلم و سنبه پین دربیار 13 عددی,17,products/P0169.jpg,cards/P0169.jpg,"[220.02, 490.52, 184.05, 20.99]"
P0170,سنبه پین دربیار 6 عددی,17,products/P0170.jpg,cards/P0170.jpg,"[405.27, 490.52, 183.45, 20.99]"
P0171,قالویز چپ گرد 8 عددی ( مارپیچ ),17,products/P0171.jpg,cards/P0171.jpg,"[28.78, 641.63, 190.65, 20.99]"
P0172,قالویز چپ گرد 8 عددی,17,products/P0172.jpg,cards/P0172.jpg,"[220.02, 641.63, 184.05, 20.99]"
P0173,قالویز چپ گرد 6 عددی,17,products/P0173.jpg,cards/P0173.jpg,"[405.27, 641.63, 183.45, 20.99]"
P0174,سیبک دربیار اهرمی,18,products/P0174.jpg,cards/P0174.jpg,"[28.78, 36.58, 190.65, 20.99]"
P0175,کمپرسنج 8 تیکه,18,products/P0175.jpg,cards/P0175.jpg,"[220.02, 36.58, 184.05, 20.99]"
P0176,کمپرسنج 2 تیکه,18,products/P0176.jpg,cards/P0176.jpg,"[405.27, 36.58, 183.45, 20.99]"
P0177,بکس انژکتور کامیون سفید ( بنز – مان ),18,products/P0177.jpg,cards/P0177.jpg,"[28.78, 187.69, 190.65, 20.99]"
P0178,سیبک دربیار 19 میلی ( مشکی ),18,products/P0178.jpg,cards/P0178.jpg,"[220.02, 187.69, 184.05, 20.99]"
P0179,سیبک دربیار 45 میلی ( سفید ),18,products/P0179.jpg,cards/P0179.jpg,"[405.27, 187.69, 183.45, 20.99]"
P0180,بکس سنسور اکسیژن,18,products/P0180.jpg,cards/P0180.jpg,"[28.78, 339.41, 190.65, 20.39]"
P0181,بکس سنسور اکسیژن سفید,18,products/P0181.jpg,cards/P0181.jpg,"[220.02, 339.41, 184.05, 20.39]"
P0182,بکس انژکتور کامیون مشکی ( بنز – مان ),18,products/P0182.jpg,cards/P0182.jpg,"[405.27, 339.41, 183.45, 20.39]"
P0183,کیت بکس سنسور اکسیژن 7 عددی,18,products/P0183.jpg,cards/P0183.jpg,"[28.78, 490.52, 190.65, 20.99]"
P0184,بکس سنسور اکسیژن فوق بلند,18,products/P0184.jpg,cards/P0184.jpg,"[220.02, 490.52, 184.05, 20.99]"
